headline,description,keyword_set,keyword_type,type,segment,placement,similarity_score,bigram_score
Master Full-Stack in 6 months,Build 5+ industry projects,"programming tutorial, coding career, tech education",core,winner-like,Graduates,youtube,0.65,0.8
Master Full-Stack in 6 months,Build 5+ industry projects,"beginner programming, career guidance, job preparation",problem-aware,winner-like,Graduates,youtube,0.65,0.8
Master Full-Stack in 6 months,Build 5+ industry projects,"advanced course, executive program, management",negative,winner-like,Graduates,youtube,0.65,0.8
Crack Tech Interviews,Get placement support included,"programming tutorial, coding career, tech education",core,winner-like,Graduates,youtube,0.65,0.8
Crack Tech Interviews,Get placement support included,"beginner programming, career guidance, job preparation",problem-aware,winner-like,Graduates,youtube,0.65,0.8
Crack Tech Interviews,Get placement support included,"advanced course, executive program, management",negative,winner-like,Graduates,youtube,0.65,0.8
React Job Ready Program,Learn from industry experts,"programming tutorial, coding career, tech education",core,winner-like,Graduates,youtube,0.65,0.8
React Job Ready Program,Learn from industry experts,"beginner programming, career guidance, job preparation",problem-aware,winner-like,Graduates,youtube,0.65,0.8
React Job Ready Program,Learn from industry experts,"advanced course, executive program, management",negative,winner-like,Graduates,youtube,0.65,0.8
Land Developer Jobs Fast,Join live cohort sessions,"programming tutorial, coding career, tech education",core,winner-like,Graduates,youtube,0.65,0.8
Land Developer Jobs Fast,Join live cohort sessions,"beginner programming, career guidance, job preparation",problem-aware,winner-like,Graduates,youtube,0.65,0.8
Land Developer Jobs Fast,Join live cohort sessions,"advanced course, executive program, management",negative,winner-like,Graduates,youtube,0.65,0.8
Build 5+ Real Projects,Master interview preparation,"programming tutorial, coding career, tech education",core,explorer,Graduates,youtube,0.42,0.6
Build 5+ Real Projects,Master interview preparation,"beginner programming, career guidance, job preparation",problem-aware,explorer,Graduates,youtube,0.42,0.6
Build 5+ Real Projects,Master interview preparation,"advanced course, executive program, management",negative,explorer,Graduates,youtube,0.42,0.6
Get Full-Stack Certified,Master interview preparation,"programming tutorial, coding career, tech education",core,explorer,Graduates,youtube,0.42,0.6
Get Full-Stack Certified,Master interview preparation,"beginner programming, career guidance, job preparation",problem-aware,explorer,Graduates,youtube,0.42,0.6
Get Full-Stack Certified,Master interview preparation,"advanced course, executive program, management",negative,explorer,Graduates,youtube,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"programming tutorial, coding career, tech education",core,explorer,Graduates,youtube,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"beginner programming, career guidance, job preparation",problem-aware,explorer,Graduates,youtube,0.42,0.6
Join 1000+ Successful Students,Master interview preparation,"advanced course, executive program, management",negative,explorer,Graduates,youtube,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"programming tutorial, coding career, tech education",core,explorer,Graduates,youtube,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"beginner programming, career guidance, job preparation",problem-aware,explorer,Graduates,youtube,0.42,0.6
DSA Bootcamp - Guaranteed Job,Master interview preparation,"advanced course, executive program, management",negative,explorer,Graduates,youtube,0.42,0.6
Upskill to Backend Developer Roles,Weekend live classes only,"upskill programming, career transition, professional development",core,winner-like,Working Professionals,search,0.65,0.8
Upskill to Backend Developer Roles,Weekend live classes only,"switch careers, weekend classes, work life balance",problem-aware,winner-like,Working Professionals,search,0.65,0.8
Upskill to Backend Developer Roles,Weekend live classes only,"full time course, student program, beginner",negative,winner-like,Working Professionals,search,0.65,0.8
Switch to Analytics Career,Flexible schedule for professionals,"upskill programming, career transition, professional development",core,winner-like,Working Professionals,search,0.65,0.8
Switch to Analytics Career,Flexible schedule for professionals,"switch careers, weekend classes, work life balance",problem-aware,winner-like,Working Professionals,search,0.65,0.8
Switch to Analytics Career,Flexible schedule for professionals,"full time course, student program, beginner",negative,winner-like,Working Professionals,search,0.65,0.8
Weekend AI/ML Classes,Career transition support,"upskill programming, career transition, professional development",core,winner-like,Working Professionals,search,0.65,0.8
Weekend AI/ML Classes,Career transition support,"switch careers, weekend classes, work life balance",problem-aware,winner-like,Working Professionals,search,0.65,0.8
Weekend AI/ML Classes,Career transition support,"full time course, student program, beginner",negative,winner-like,Working Professionals,search,0.65,0.8
Career Transition to Analytics,Industry mentor guidance,"upskill programming, career transition, professional development",core,winner-like,Working Professionals,search,0.65,0.8
Career Transition to Analytics,Industry mentor guidance,"switch careers, weekend classes, work life balance",problem-aware,winner-like,Working Professionals,search,0.65,0.8
Career Transition to Analytics,Industry mentor guidance,"full time course, student program, beginner",negative,winner-like,Working Professionals,search,0.65,0.8
Advance Your Tech Career,Work while you learn,"upskill programming, career transition, professional development",core,explorer,Working Professionals,search,0.42,0.6
Advance Your Tech Career,Work while you learn,"switch careers, weekend classes, work life balance",problem-aware,explorer,Working Professionals,search,0.42,0.6
Advance Your Tech Career,Work while you learn,"full time course, student program, beginner",negative,explorer,Working Professionals,search,0.42,0.6
Backend Development for Working Professionals,Work while you learn,"upskill programming, career transition, professional development",core,explorer,Working Professionals,search,0.42,0.6
Backend Development for Working Professionals,Work while you learn,"switch careers, weekend classes, work life balance",problem-aware,explorer,Working Professionals,search,0.42,0.6
Backend Development for Working Professionals,Work while you learn,"full time course, student program, beginner",negative,explorer,Working Professionals,search,0.42,0.6
Part-time AI/ML Program,Work while you learn,"upskill programming, career transition, professional development",core,explorer,Working Professionals,search,0.42,0.6
Part-time AI/ML Program,Work while you learn,"switch careers, weekend classes, work life balance",problem-aware,explorer,Working Professionals,search,0.42,0.6
Part-time AI/ML Program,Work while you learn,"full time course, student program, beginner",negative,explorer,Working Professionals,search,0.42,0.6
Executive AI/ML Course,Work while you learn,"upskill programming, career transition, professional development",core,explorer,Working Professionals,search,0.42,0.6
Executive AI/ML Course,Work while you learn,"switch careers, weekend classes, work life balance",problem-aware,explorer,Working Professionals,search,0.42,0.6
Executive AI/ML Course,Work while you learn,"full time course, student program, beginner",negative,explorer,Working Professionals,search,0.42,0.6
Upskill to Data Scientist Roles,Weekend live classes only,"professional upskilling, career advancement, skill development",core,winner-like,Working Professionals,youtube,0.65,0.8
Upskill to Data Scientist Roles,Weekend live classes only,"career growth, professional training, industry skills",problem-aware,winner-like,Working Professionals,youtube,0.65,0.8
Upskill to Data Scientist Roles,Weekend live classes only,"entry level, student discount, campus",negative,winner-like,Working Professionals,youtube,0.65,0.8
Switch to Tech Career,Flexible schedule for professionals,"professional upskilling, career advancement, skill development",core,winner-like,Working Professionals,youtube,0.65,0.8
Switch to Tech Career,Flexible schedule for professionals,"career growth, professional training, industry skills",problem-aware,winner-like,Working Professionals,youtube,0.65,0.8
Switch to Tech Career,Flexible schedule for professionals,"entry level, student discount, campus",negative,winner-like,Working Professionals,youtube,0.65,0.8
Weekend AI/ML Classes,Career transition support,"professional upskilling, career advancement, skill development",core,winner-like,Working Professionals,youtube,0.65,0.8
Weekend AI/ML Classes,Career transition support,"career growth, professional training, industry skills",problem-aware,winner-like,Working Professionals,youtube,0.65,0.8
Weekend AI/ML Classes,Career transition support,"entry level, student discount, campus",negative,winner-like,Working Professionals,youtube,0.65,0.8
Career Transition to Data,Industry mentor guidance,"professional upskilling, career advancement, skill development",core,winner-like,Working Professionals,youtube,0.65,0.8
Career Transition to Data,Industry mentor guidance,"career growth, professional training, industry skills",problem-aware,winner-like,Working Professionals,youtube,0.65,0.8
Career Transition to Data,Industry mentor guidance,"entry level, student discount, campus",negative,winner-like,Working Professionals,youtube,0.65,0.8
Advance Your Tech Career,Work while you learn,"professional upskilling, career advancement, skill development",core,explorer,Working Professionals,youtube,0.42,0.6
Advance Your Tech Career,Work while you learn,"career growth, professional training, industry skills",problem-aware,explorer,Working Professionals,youtube,0.42,0.6
Advance Your Tech Career,Work while you learn,"entry level, student discount, campus",negative,explorer,Working Professionals,youtube,0.42,0.6
Data Analytics for Working Professionals,Work while you learn,"professional upskilling, career advancement, skill development",core,explorer,Working Professionals,youtube,0.42,0.6
Data Analytics for Working Professionals,Work while you learn,"career growth, professional training, industry skills",problem-aware,explorer,Working Professionals,youtube,0.42,0.6
Data Analytics for Working Professionals,Work while you learn,"entry level, student discount, campus",negative,explorer,Working Professionals,youtube,0.42,0.6
Part-time Backend Development Program,Work while you learn,"professional upskilling, career advancement, skill development",core,explorer,Working Professionals,youtube,0.42,0.6
Part-time Backend Development Program,Work while you learn,"career growth, professional training, industry skills",problem-aware,explorer,Working Professionals,youtube,0.42,0.6
Part-time Backend Development Program,Work while you learn,"entry level, student discount, campus",negative,explorer,Working Professionals,youtube,0.42,0.6
Executive AI/ML Course,Work while you learn,"professional upskilling, career advancement, skill development",core,explorer,Working Professionals,youtube,0.42,0.6
Executive AI/ML Course,Work while you learn,"career growth, professional training, industry skills",problem-aware,explorer,Working Professionals,youtube,0.42,0.6
Executive AI/ML Course,Work while you learn,"entry level, student discount, campus",negative,explorer,Working Professionals,youtube,0.42,0.6
