source,utm_source,utm_medium,utm_campaign,utm_term,utm_content,pageviews,device,country,region,city,program_interest,years_experience,current_role,salary_range,intent_text,avg_response_time_minutes,typical_objection,contacted_y,meeting_y,enrolled_y,lost_reason,lead_score,propensity_contact,propensity_meeting,propensity_enroll,expected_gmv_inr,expected_ltv_inr,cost_per_lead_inr,roi_expected,priority_bucket,time_to_first_touch_target_minutes
paid_search,paid_search,organic,data_analytics_fasttrack,full+stack+developer,text,6,mobile,IN,GJ,Vadodara,Data Analytics,5,working_professional,NA,Want a job-ready course with placement support,22,need_more_info,1,0,0,research_only,62,0.902,0.729,0.312,35796,40537,1344,26.63,B,55
paid_search,paid_search,cpc,python_fundamentals,devops+training,carousel,9,tablet,IN,TS,Hyderabad,Machine Learning,4,student,6–10L,Comparing programs; need scholarship info,32,need_more_info,1,1,1,,76,0.967,0.947,0.747,152212,178047,1611,94.48,A,8
paid_social,paid_social,cpc,fsd_career_switch,machine+learning+bootcamp,text,1,mobile,IN,DL,Delhi,Python,7,working_professional,6–10L,New to field; need beginner-friendly curriculum,51,not_ready,0,0,0,no_response,38,0.432,0.114,0.01,536,674,1551,0.35,C,239
direct,direct,organic,data_analytics_fasttrack,devops+training,v1,7,desktop,IN,TN,Chennai,Data Science,7,freelancer,10–15L,Interested if EMI available and recorded sessions,19,schedule_conflict,1,1,0,timing,71,0.977,0.888,0.616,89944,119128,11,8176.73,B,57
email,email,email,cloud_devops_kickoff,data+science+course,video,2,mobile,US,WA,Seattle,Cloud & DevOps,0,working_professional,<3L,Prefer weekend classes; working full-time,110,not_interested,0,0,0,no_response,38,0.419,0.086,0.01,1000,1255,336,2.98,C,63
paid_social,paid_social,referral,ds_bootcamp_q3,python+course,v2,4,mobile,IN,RJ,Jaipur,Data Analytics,6,unemployed,<3L,Comparing programs; need scholarship info,49,not_ready,1,1,0,timing,59,0.911,0.651,0.214,13857,17257,945,14.66,B,48
influencer,influencer,referral,data_analytics_fasttrack,cybersecurity+program,v1,3,desktop,IN,MH,Mumbai,Data Science,7,working_professional,NA,Want a job-ready course with placement support,41,need_more_info,1,1,0,research_only,53,0.802,0.415,0.095,7736,10253,1493,5.18,C,124
organic_search,organic_search,organic,ds_bootcamp_q3,cybersecurity+program,carousel,8,mobile,IN,TS,Hyderabad,Full-Stack Development,6,student,6–10L,Interested if EMI available and recorded sessions,37,compare_options,1,1,0,competitor,66,0.966,0.806,0.454,53553,64409,70,765.04,B,56
paid_search,paid_search,organic,fsd_career_switch,full+stack+developer,carousel,6,mobile,US,NY,New York,Python,3,working_professional,<3L,Want a job-ready course with placement support,35,fees_high,1,1,1,,70,0.94,0.867,0.59,49488,59725,2321,21.32,B,27
organic_search,organic_search,cpc,cyber_jumpstart,full+stack+developer,video,4,mobile,IN,GJ,Vadodara,Machine Learning,3,student,<3L,Already coding; want advanced projects,27,schedule_conflict,0,0,0,no_response,55,0.819,0.5,0.143,16896,18977,127,133.04,B,39
organic_search,organic_search,email,cloud_devops_kickoff,devops+training,v1,4,desktop,AE,AUH,Abu Dhabi,Data Science,9,unemployed,15L+,Interested if EMI available and recorded sessions,39,schedule_conflict,1,0,0,timing,55,0.826,0.477,0.114,15995,17934,20,799.75,B,15
referral,referral,cpc,python_fundamentals,python+course,video,3,mobile,IN,DL,Delhi,Data Science,1,student,6–10L,Want a job-ready course with placement support,30,fees_high,0,0,0,no_response,74,0.948,0.903,0.7,78203,95316,60,1303.38,B,50
email,email,email,ds_bootcamp_q3,data+science+course,v2,4,mobile,IN,TN,Coimbatore,Cybersecurity,3,working_professional,10–15L,Comparing programs; need scholarship info,117,time_commitment,1,1,0,timing,47,0.667,0.287,0.062,7734,10093,436,17.74,C,179
direct,direct,cpc,data_analytics_fasttrack,machine+learning+bootcamp,text,3,mobile,UK,ENG,London,Machine Learning,4,working_professional,10–15L,Looking to switch career in 3–6 months,6,schedule_conflict,1,0,0,timing,56,0.849,0.555,0.176,23385,26838,83,281.75,B,48
paid_social,paid_social,referral,ml_advanced,devops+training,video,3,mobile,IN,DL,Delhi,Machine Learning,4,freelancer,3–6L,Already coding; want advanced projects,42,time_commitment,1,1,0,timing,49,0.75,0.317,0.035,4645,5532,1718,2.7,C,181
paid_social,paid_social,referral,cloud_devops_kickoff,machine+learning+bootcamp,v1,5,mobile,UK,SCT,Edinburgh,Python,7,working_professional,6–10L,Prefer weekend classes; working full-time,22,time_commitment,1,0,0,timing,50,0.767,0.36,0.096,2342,2590,1039,2.25,C,87
direct,direct,social,cloud_devops_kickoff,cybersecurity+program,carousel,6,mobile,IN,TS,Hyderabad,Data Analytics,4,working_professional,15L+,Looking to switch career in 3–6 months,21,schedule_conflict,1,1,1,,70,0.959,0.847,0.565,70531,94869,13,5425.46,B,19
paid_social,paid_social,social,ml_advanced,python+course,carousel,2,mobile,IN,TN,Chennai,Cloud & DevOps,4,working_professional,6–10L,Comparing programs; need scholarship info,67,time_commitment,1,0,0,timing,42,0.537,0.149,0.01,923,1091,1205,0.77,C,124
paid_social,paid_social,cpc,python_fundamentals,machine+learning+bootcamp,v1,2,desktop,IN,RJ,Jaipur,Data Science,5,student,15L+,Interested if EMI available and recorded sessions,57,not_ready,1,1,0,timing,47,0.711,0.261,0.069,6514,8203,1526,4.27,C,218
organic_search,organic_search,cpm,ds_bootcamp_q3,full+stack+developer,video,2,mobile,IN,MH,Pune,Machine Learning,2,student,3–6L,Looking to switch career in 3–6 months,41,schedule_conflict,1,0,0,timing,51,0.746,0.354,0.075,8330,9991,138,60.36,C,164
organic_search,organic_search,cpc,cyber_jumpstart,python+course,text,4,mobile,US,NY,New York,Machine Learning,3,student,3–6L,Already coding; want advanced projects,17,compare_options,1,1,0,competitor,55,0.836,0.523,0.133,18842,21146,189,99.69,B,47
paid_social,paid_social,organic,fsd_career_switch,data+science+course,v1,4,desktop,SG,SG,Singapore,Full-Stack Development,3,unemployed,6–10L,Looking to switch career in 3–6 months,58,need_more_info,0,0,0,no_response,50,0.746,0.373,0.078,6297,7935,1677,3.75,C,116
direct,direct,social,fsd_career_switch,data+analytics+certificate,v2,2,mobile,IN,DL,Delhi,Full-Stack Development,8,student,15L+,Interested if EMI available and recorded sessions,6,need_more_info,1,1,0,research_only,55,0.818,0.506,0.138,11918,14378,84,141.88,B,38
paid_search,paid_search,cpc,data_analytics_fasttrack,machine+learning+bootcamp,carousel,4,mobile,US,TX,Dallas,Machine Learning,4,working_professional,<3L,Interested if EMI available and recorded sessions,29,compare_options,1,1,0,competitor,65,0.942,0.75,0.403,40459,45054,2232,18.13,B,39
direct,direct,organic,python_fundamentals,python+course,v1,4,desktop,IN,KA,Bengaluru,Data Science,5,student,6–10L,Prefer weekend classes; working full-time,13,need_more_info,1,1,0,research_only,58,0.859,0.593,0.219,28143,31216,23,1223.61,B,40
paid_social,paid_social,email,ml_advanced,full+stack+developer,video,1,mobile,AE,AUH,Abu Dhabi,Cybersecurity,7,working_professional,6–10L,Comparing programs; need scholarship info,44,time_commitment,1,1,0,timing,39,0.477,0.111,0.032,2975,3882,1059,2.81,C,139
influencer,influencer,email,python_fundamentals,data+science+course,longform,1,mobile,IN,GJ,Vadodara,Data Science,4,working_professional,<3L,Looking to switch career in 3–6 months,15,need_more_info,1,1,1,,50,0.741,0.35,0.073,128003,160770,1872,68.38,C,100
direct,direct,referral,fsd_career_switch,machine+learning+bootcamp,v1,2,desktop,US,WA,Seattle,Data Science,8,unemployed,15L+,New to field; need beginner-friendly curriculum,23,need_more_info,1,1,1,,61,0.918,0.68,0.269,83306,100092,30,2776.87,B,25
influencer,influencer,referral,fsd_career_switch,full+stack+developer,carousel,2,mobile,IN,GJ,Ahmedabad,Data Analytics,2,student,NA,Interested if EMI available and recorded sessions,45,authenticity,1,0,0,competitor,51,0.765,0.374,0.106,7911,10673,1435,5.51,C,119
organic_search,organic_search,referral,python_fundamentals,devops+training,video,8,mobile,IN,TS,Hyderabad,Python,9,student,15L+,Looking to switch career in 3–6 months,20,schedule_conflict,1,0,0,timing,57,0.893,0.583,0.154,7011,8288,122,57.47,B,39
email,email,referral,cloud_devops_kickoff,data+analytics+certificate,carousel,4,desktop,AE,AUH,Abu Dhabi,Data Analytics,7,working_professional,15L+,Looking to switch career in 3–6 months,102,not_interested,0,0,0,no_response,40,0.479,0.105,0.01,826,1110,229,3.61,C,67
influencer,influencer,cpc,python_fundamentals,data+science+course,longform,2,mobile,IN,DL,Delhi,Data Science,3,student,NA,Looking to switch career in 3–6 months,55,need_more_info,1,1,0,research_only,53,0.808,0.416,0.123,10137,12040,1478,6.86,C,72
organic_search,organic_search,organic,data_analytics_fasttrack,machine+learning+bootcamp,video,6,desktop,IN,DL,Delhi,Machine Learning,2,student,<3L,Prefer weekend classes; working full-time,28,compare_options,1,1,0,competitor,59,0.888,0.624,0.204,31483,40103,94,334.93,B,46
organic_search,organic_search,organic,fsd_career_switch,cybersecurity+program,v2,7,mobile,UK,ENG,Manchester,Cloud & DevOps,7,student,6–10L,Comparing programs; need scholarship info,16,schedule_conflict,1,1,0,timing,58,0.907,0.616,0.208,20231,24419,279,72.51,B,47
influencer,influencer,social,fsd_career_switch,data+analytics+certificate,text,1,mobile,IN,RJ,Jaipur,Full-Stack Development,0,student,3–6L,Want a job-ready course with placement support,36,need_more_info,1,0,0,research_only,47,0.694,0.281,0.048,3837,4915,1407,2.73,C,143
paid_search,paid_search,email,fsd_career_switch,cybersecurity+program,longform,4,mobile,IN,KA,Bengaluru,Cloud & DevOps,2,student,<3L,New to field; need beginner-friendly curriculum,44,fees_high,1,0,0,budget,64,0.922,0.778,0.359,45002,52005,2495,18.04,B,33
paid_social,paid_social,referral,ml_advanced,data+science+course,longform,2,mobile,IN,GJ,Ahmedabad,Python,2,working_professional,NA,Prefer weekend classes; working full-time,74,not_ready,1,0,0,timing,36,0.401,0.094,0.01,475,551,1209,0.39,C,221
organic_search,organic_search,social,ds_bootcamp_q3,data+analytics+certificate,carousel,6,desktop,IN,WB,Kolkata,Machine Learning,6,student,6–10L,Prefer weekend classes; working full-time,23,compare_options,1,0,0,competitor,57,0.882,0.589,0.154,17998,23025,262,68.69,B,16
organic_search,organic_search,referral,ml_advanced,full+stack+developer,longform,3,desktop,IN,WB,Kolkata,Cybersecurity,3,student,10–15L,Already coding; want advanced projects,50,schedule_conflict,1,0,0,timing,59,0.897,0.599,0.205,26116,35001,236,110.66,B,28
email,email,referral,fsd_career_switch,machine+learning+bootcamp,longform,5,desktop,IN,GJ,Vadodara,Cybersecurity,3,working_professional,10–15L,Comparing programs; need scholarship info,59,time_commitment,0,0,0,no_response,44,0.622,0.213,0.06,6435,7083,487,13.21,C,151
organic_search,organic_search,social,ml_advanced,data+analytics+certificate,longform,2,mobile,UK,SCT,Edinburgh,Data Science,6,working_professional,3–6L,Prefer weekend classes; working full-time,32,compare_options,1,0,0,competitor,43,0.592,0.165,0.01,987,1296,95,10.39,C,175
direct,direct,organic,fsd_career_switch,data+analytics+certificate,longform,6,mobile,UK,SCT,Edinburgh,Machine Learning,2,working_professional,10–15L,New to field; need beginner-friendly curriculum,8,schedule_conflict,1,1,0,timing,58,0.867,0.577,0.172,26509,30794,21,1262.33,B,49
paid_search,paid_search,email,ml_advanced,python+course,text,6,desktop,IN,GJ,Ahmedabad,Full-Stack Development,0,student,15L+,Looking to switch career in 3–6 months,36,compare_options,1,1,0,competitor,63,0.954,0.721,0.358,30028,38422,2480,12.11,B,23
influencer,influencer,email,ml_advanced,devops+training,text,2,mobile,IN,MH,Pune,Cybersecurity,1,working_professional,6–10L,Interested if EMI available and recorded sessions,47,need_more_info,1,1,0,research_only,51,0.801,0.387,0.099,13672,17209,2506,5.46,C,70
direct,direct,organic,data_analytics_fasttrack,data+science+course,carousel,5,mobile,US,WA,Seattle,Cloud & DevOps,0,working_professional,3–6L,New to field; need beginner-friendly curriculum,24,schedule_conflict,1,1,1,,54,0.808,0.479,0.117,82423,99352,12,6868.58,C,227
direct,direct,email,data_analytics_fasttrack,python+course,video,5,mobile,IN,MH,Pune,Data Analytics,0,working_professional,10–15L,Prefer weekend classes; working full-time,17,need_more_info,0,0,0,no_response,53,0.783,0.449,0.111,11419,15361,60,190.32,C,165
influencer,influencer,cpm,fsd_career_switch,python+course,v1,5,desktop,IN,DL,Delhi,Cloud & DevOps,5,student,15L+,Want a job-ready course with placement support,43,authenticity,1,1,0,competitor,59,0.917,0.614,0.231,28047,34761,1920,14.61,B,44
affiliate,affiliate,referral,ds_bootcamp_q3,data+science+course,v1,2,desktop,IN,GJ,Vadodara,Cybersecurity,3,unemployed,10–15L,Prefer weekend classes; working full-time,18,compare_options,0,0,0,no_response,46,0.653,0.25,0.038,3185,4273,719,4.43,C,152
direct,direct,social,ml_advanced,devops+training,carousel,4,mobile,IN,MH,Pune,Cloud & DevOps,0,working_professional,15L+,Interested if EMI available and recorded sessions,14,need_more_info,1,0,0,research_only,45,0.664,0.207,0.029,3895,4724,88,44.26,C,60
organic_search,organic_search,organic,cloud_devops_kickoff,devops+training,v1,4,desktop,AE,DXB,Dubai,Cloud & DevOps,4,working_professional,10–15L,Comparing programs; need scholarship info,44,compare_options,0,0,0,no_response,49,0.733,0.32,0.055,7008,9341,119,58.89,C,139
organic_search,organic_search,referral,fsd_career_switch,cybersecurity+program,text,9,mobile,IN,WB,Kolkata,Full-Stack Development,0,student,15L+,Comparing programs; need scholarship info,40,compare_options,1,1,1,,69,0.943,0.833,0.516,96377,124800,76,1268.12,B,30
direct,direct,email,python_fundamentals,machine+learning+bootcamp,v1,3,mobile,IN,MH,Mumbai,Data Science,5,working_professional,15L+,Prefer weekend classes; working full-time,11,need_more_info,1,1,0,research_only,66,0.973,0.785,0.405,45869,60131,43,1066.72,B,27
paid_search,paid_search,cpc,data_analytics_fasttrack,cybersecurity+program,longform,6,desktop,AE,AUH,Abu Dhabi,Python,5,working_professional,NA,Looking to switch career in 3–6 months,45,compare_options,1,1,0,competitor,63,0.928,0.712,0.35,7878,10521,1920,4.1,B,18
paid_search,paid_search,cpc,cyber_jumpstart,devops+training,text,8,desktop,IN,DL,Delhi,Cybersecurity,3,working_professional,6–10L,Prefer weekend classes; working full-time,33,need_more_info,1,1,0,research_only,62,0.936,0.682,0.287,29865,34632,1493,20.0,B,58
email,email,cpm,cloud_devops_kickoff,data+science+course,v2,3,mobile,IN,KA,Mysuru,Data Science,6,student,<3L,Already coding; want advanced projects,73,time_commitment,1,1,1,,45,0.655,0.221,0.044,139162,172330,348,399.89,C,172
organic_search,organic_search,cpm,fsd_career_switch,data+science+course,video,6,mobile,IN,RJ,Jaipur,Cybersecurity,0,student,15L+,Looking to switch career in 3–6 months,50,compare_options,1,0,0,competitor,57,0.872,0.582,0.149,20875,24327,122,171.11,B,30
organic_search,organic_search,cpm,ds_bootcamp_q3,devops+training,longform,5,mobile,IN,WB,Kolkata,Machine Learning,9,working_professional,3–6L,Comparing programs; need scholarship info,37,compare_options,1,1,0,competitor,54,0.85,0.452,0.123,13956,16038,40,348.9,C,82
organic_search,organic_search,email,fsd_career_switch,full+stack+developer,v2,6,mobile,IN,TS,Hyderabad,Data Science,7,working_professional,NA,Looking to switch career in 3–6 months,43,schedule_conflict,1,1,0,timing,65,0.932,0.798,0.416,40580,53485,136,298.38,B,30
affiliate,affiliate,cpc,fsd_career_switch,python+course,video,6,mobile,IN,RJ,Jaipur,Data Science,2,working_professional,6–10L,Interested if EMI available and recorded sessions,60,compare_options,1,1,0,competitor,60,0.907,0.675,0.229,34287,44612,737,46.52,B,16
influencer,influencer,cpm,ds_bootcamp_q3,cybersecurity+program,video,2,desktop,US,NY,New York,Cloud & DevOps,0,working_professional,NA,Already coding; want advanced projects,21,need_more_info,1,0,0,research_only,40,0.522,0.146,0.01,1299,1520,1149,1.13,C,91
referral,referral,cpm,fsd_career_switch,python+course,text,5,mobile,US,WA,Seattle,Data Analytics,5,working_professional,<3L,Interested if EMI available and recorded sessions,16,finance_options,1,1,0,budget,62,0.914,0.726,0.311,35257,42314,143,246.55,B,18
direct,direct,email,fsd_career_switch,devops+training,carousel,7,mobile,IN,DL,Delhi,Machine Learning,4,student,10–15L,Already coding; want advanced projects,19,schedule_conflict,1,1,1,,73,0.98,0.928,0.694,125839,158187,4,31459.75,B,54
referral,referral,social,fsd_career_switch,data+science+course,video,2,mobile,IN,TS,Hyderabad,Machine Learning,0,working_professional,15L+,Want a job-ready course with placement support,14,finance_options,1,1,0,budget,51,0.777,0.364,0.095,11330,14305,51,222.16,C,200
direct,direct,email,data_analytics_fasttrack,machine+learning+bootcamp,carousel,5,mobile,IN,GJ,Vadodara,Data Science,5,freelancer,6–10L,Prefer weekend classes; working full-time,15,need_more_info,1,1,0,research_only,62,0.906,0.728,0.281,35285,42695,7,5040.71,B,48
email,email,cpc,data_analytics_fasttrack,full+stack+developer,longform,2,mobile,IN,TN,Coimbatore,Cloud & DevOps,4,unemployed,10–15L,Comparing programs; need scholarship info,110,not_interested,0,0,0,no_response,40,0.495,0.109,0.013,1106,1354,785,1.41,C,98
influencer,influencer,cpc,ml_advanced,devops+training,carousel,4,mobile,IN,GJ,Vadodara,Data Science,4,working_professional,10–15L,Comparing programs; need scholarship info,26,need_more_info,1,0,0,research_only,47,0.703,0.265,0.04,4904,6582,2145,2.29,C,122
direct,direct,cpc,ds_bootcamp_q3,data+science+course,video,6,mobile,IN,TS,Hyderabad,Data Analytics,5,working_professional,10–15L,Comparing programs; need scholarship info,6,need_more_info,1,1,0,research_only,56,0.853,0.502,0.127,12263,16336,19,645.42,B,27
organic_search,organic_search,organic,data_analytics_fasttrack,cybersecurity+program,longform,6,mobile,IN,WB,Kolkata,Cloud & DevOps,2,working_professional,6–10L,New to field; need beginner-friendly curriculum,31,schedule_conflict,1,0,0,timing,62,0.928,0.707,0.317,29141,32493,289,100.83,B,53
affiliate,affiliate,referral,python_fundamentals,data+science+course,longform,6,mobile,IN,MH,Pune,Machine Learning,5,working_professional,3–6L,Want a job-ready course with placement support,46,compare_options,1,1,0,competitor,54,0.848,0.493,0.12,13273,16321,1121,11.84,C,87
paid_search,paid_search,organic,ml_advanced,devops+training,carousel,7,desktop,IN,WB,Kolkata,Python,3,student,NA,Looking to switch career in 3–6 months,42,compare_options,1,1,1,,73,0.949,0.886,0.679,22878,27680,2470,9.26,B,30
paid_search,paid_search,organic,cloud_devops_kickoff,full+stack+developer,video,3,desktop,IN,TS,Hyderabad,Data Science,3,working_professional,3–6L,Already coding; want advanced projects,24,need_more_info,1,1,1,,68,0.98,0.835,0.518,104451,115095,1795,58.19,B,40
organic_search,organic_search,social,cyber_jumpstart,machine+learning+bootcamp,longform,2,mobile,UK,ENG,Manchester,Full-Stack Development,0,working_professional,6–10L,New to field; need beginner-friendly curriculum,11,schedule_conflict,1,0,0,timing,45,0.654,0.207,0.014,1474,1785,122,12.08,C,100
email,email,social,python_fundamentals,data+analytics+certificate,v2,3,mobile,IN,RJ,Jaipur,Python,7,working_professional,6–10L,Prefer weekend classes; working full-time,61,time_commitment,1,0,0,timing,44,0.616,0.185,0.054,2028,2604,594,3.41,C,67
paid_search,paid_search,cpc,ml_advanced,python+course,v1,9,desktop,IN,DL,Delhi,Data Analytics,8,working_professional,3–6L,Looking to switch career in 3–6 months,37,need_more_info,1,1,0,research_only,70,0.941,0.854,0.59,65361,82159,2487,26.28,B,23
paid_search,paid_search,referral,cloud_devops_kickoff,python+course,longform,5,mobile,IN,RJ,Jaipur,Cloud & DevOps,0,student,6–10L,Looking to switch career in 3–6 months,23,compare_options,1,1,1,,65,0.956,0.79,0.367,99862,113748,1280,78.02,B,50
direct,direct,organic,cloud_devops_kickoff,full+stack+developer,text,5,mobile,IN,WB,Kolkata,Data Science,6,student,<3L,Interested if EMI available and recorded sessions,23,schedule_conflict,1,0,0,timing,57,0.897,0.573,0.144,13168,15858,95,138.61,B,40
paid_social,paid_social,organic,ds_bootcamp_q3,cybersecurity+program,carousel,4,desktop,US,WA,Seattle,Python,2,working_professional,3–6L,Already coding; want advanced projects,68,not_ready,1,0,0,timing,47,0.658,0.281,0.066,2333,2884,1055,2.21,C,75
organic_search,organic_search,cpm,python_fundamentals,cybersecurity+program,v2,3,mobile,IN,TN,Chennai,Data Analytics,2,working_professional,NA,Comparing programs; need scholarship info,18,compare_options,1,1,0,competitor,51,0.778,0.362,0.089,9205,10482,236,39.0,C,163
email,email,cpc,cyber_jumpstart,machine+learning+bootcamp,v2,2,mobile,IN,TS,Hyderabad,Data Science,5,working_professional,6–10L,Want a job-ready course with placement support,101,not_interested,1,0,0,research_only,48,0.681,0.292,0.083,9528,10740,700,13.61,C,171
referral,referral,cpc,cyber_jumpstart,data+science+course,longform,4,desktop,IN,TS,Hyderabad,Data Science,3,working_professional,3–6L,Comparing programs; need scholarship info,16,fees_high,1,1,0,budget,70,0.98,0.869,0.595,73037,87268,165,442.65,B,37
paid_search,paid_search,email,cloud_devops_kickoff,devops+training,video,5,mobile,US,WA,Seattle,Full-Stack Development,0,student,6–10L,Prefer weekend classes; working full-time,33,compare_options,1,0,0,competitor,63,0.903,0.742,0.308,22400,29404,2181,10.27,B,27
paid_search,paid_search,organic,cloud_devops_kickoff,devops+training,text,7,mobile,IN,GJ,Vadodara,Data Science,0,working_professional,NA,Want a job-ready course with placement support,27,need_more_info,1,1,1,,67,0.923,0.836,0.475,147735,179516,2295,64.37,B,55
affiliate,affiliate,organic,ds_bootcamp_q3,devops+training,v1,4,mobile,IN,WB,Kolkata,Python,1,working_professional,NA,Looking to switch career in 3–6 months,69,fees_high,1,0,0,budget,48,0.692,0.309,0.066,3820,5103,968,3.95,C,195
organic_search,organic_search,cpc,fsd_career_switch,full+stack+developer,v2,6,mobile,US,CA,San Francisco,Data Analytics,1,student,10–15L,Want a job-ready course with placement support,44,compare_options,0,0,0,no_response,54,0.84,0.493,0.123,12880,14405,225,57.24,C,94
organic_search,organic_search,cpc,python_fundamentals,python+course,text,2,desktop,IN,TN,Coimbatore,Cloud & DevOps,5,working_professional,10–15L,Want a job-ready course with placement support,13,schedule_conflict,1,1,1,,55,0.814,0.512,0.162,139541,184495,103,1354.77,B,51
organic_search,organic_search,email,python_fundamentals,devops+training,video,8,desktop,US,CA,San Francisco,Cybersecurity,0,working_professional,10–15L,Looking to switch career in 3–6 months,48,schedule_conflict,1,0,0,timing,59,0.868,0.625,0.235,21337,24829,98,217.72,B,59
affiliate,affiliate,social,ds_bootcamp_q3,devops+training,v1,6,desktop,IN,TS,Hyderabad,Cloud & DevOps,7,working_professional,NA,Interested if EMI available and recorded sessions,66,compare_options,1,1,0,competitor,63,0.955,0.702,0.319,27096,31040,1437,18.86,B,56
direct,direct,cpm,python_fundamentals,devops+training,carousel,5,tablet,IN,WB,Kolkata,Data Analytics,4,working_professional,<3L,Want a job-ready course with placement support,10,need_more_info,1,1,1,,66,0.961,0.788,0.427,91682,108501,2,45841.0,B,30
influencer,influencer,referral,python_fundamentals,full+stack+developer,video,4,mobile,IN,KA,Bengaluru,Data Analytics,4,student,10–15L,New to field; need beginner-friendly curriculum,51,authenticity,0,0,0,no_response,51,0.764,0.364,0.099,6838,8687,1522,4.49,C,147
direct,direct,cpm,cyber_jumpstart,devops+training,text,7,mobile,IN,WB,Kolkata,Data Analytics,1,student,6–10L,Want a job-ready course with placement support,9,schedule_conflict,1,1,1,,67,0.923,0.84,0.462,71070,88603,18,3948.33,B,34
email,email,organic,python_fundamentals,cybersecurity+program,v1,2,mobile,IN,WB,Kolkata,Cybersecurity,8,working_professional,<3L,Interested if EMI available and recorded sessions,92,time_commitment,1,1,0,timing,40,0.524,0.12,0.01,763,881,609,1.25,C,174
